,Band 0 (MHz),Band 1 (MHz),Band 2 (MHz),Band 3 (MHz),Band 0 unc (MHz),Band 1 unc (MHz),Band 2 unc (MHz),Band 3 unc (MHz),RydDressPower (dBm)
0,-29.994558720205532,-33.23261897687223,-44.16122285405518,-47.2648435389919,0.15937831591383844,0.27964584385437435,0.4803932304104566,0.6111982110383597,-23
1,-37.81013263346168,-41.24941268077485,-54.020582398058764,-56.418035401671375,0.049254040126472894,0.1642485072814482,0.2673932787893969,0.7505541714294446,-22
2,-45.78484640042906,-49.70707103655451,-64.00826711955224,-65.97196046362285,0.17943418938458153,0.28595503029122354,1.5060507261133473,1.6003065100804508,-21
3,-56.67475876206805,-62.79342233334344,-75.55927297021418,-77.83879833210614,0.21049665953661092,0.43985036039029135,2.381046555060014,2.846561620176289,-20
4,-69.92927954580435,-77.65391490222018,-91.1634239913543,-93.77915783297658,0.11921463549340076,0.25618483505657924,2.235175424281786,2.854884824410446,-19
5,-84.70578869657311,-95.09464882031801,-108.20827099280638,-111.30278346037633,0.14372913653366598,0.3637702423171935,0.7849518906508495,0.8540042609638836,-18
6,-101.90931059231161,-114.68590479788949,-128.41997015187877,-130.9284752974636,0.2787703309579931,0.6570349143337724,2.0989868524415596,2.2808027657610532,-17
7,-123.70557435267091,-139.21437376764564,-150.7584327749421,-153.71345284215525,0.2090932448150814,0.5384564141554427,1.4239452287609555,1.7818920535572471,-16
8,-148.05858663673035,-166.0601558658944,-178.10864037505326,-181.82778374849795,0.2138540229500928,0.5743443601023817,1.1006868536718413,1.3004473164920214,-15
9,-176.71838015760713,-196.00787051937135,-208.54633441881003,-213.5330575636014,0.1781581980518204,0.5914270415973898,0.9652369774052487,1.1027496605354774,-14
10,-209.50098206239073,-229.78595099089523,-243.21668661646265,-249.83439925477626,0.20841594199511732,0.5218842586098036,1.077713896712679,1.3495858016694806,-13
11,-249.62927525618608,-270.7763585381538,-284.5308717101799,-296.08690773045055,0.31580094020289184,0.7471961090265107,1.2859436533551327,1.658095834862726,-12
12,-292.1730963164927,-315.87374708199525,-331.53273620156995,-348.0865467855343,0.3556050713558394,0.9179204029342678,1.3403884046297851,1.6372536164807439,-11
13,-343.22302148462063,-366.25163542007095,-385.2169860545082,-410.6106723080983,0.3580175663477277,0.9036201603601374,1.3199082057874676,1.5895041949745794,-10
